frame,distance_m,lateral_m,yaw_deg,visible_keypoints,in_frame_keypoints,occluded_keypoints,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax
frame_0000,2.9591401976868257,-0.2849935468663998,-6.749120448926423,5,6,1,0.0,106.19278194694168,966.0220500779341,361.2542958609025
frame_0001,2.3348161072232343,0.14188272849840744,5.300984622687338,4,6,2,12.635981641477045,66.40101961630828,1280.0,400.58736525340595
frame_0002,3.338269351557268,-0.2478367004223503,-2.3423454094418865,5,6,1,0.0,180.6117078603554,977.6762945094569,394.9569825019412
frame_0003,2.817412220904825,-0.167735626775582,2.677970516277263,5,6,1,0.0,156.33837993326233,1157.0679303494867,417.9728901002025
frame_0004,3.21414568501674,-0.2961007441931634,9.174577554984236,4,5,1,0.0,170.43583167989073,1003.2116945291111,400.0067592384862
frame_0005,3.0472090924823405,-0.09584969008920488,-10.335615005646552,6,6,0,0.0,137.3605436820424,1106.1252654951095,383.42231442549735
frame_0006,3.4358196083101715,-0.09804327293242393,-12.217624698595563,8,8,0,0.0,156.35755879190813,1064.8975126846044,370.89249452673107
frame_0007,3.2106924099115703,0.13783907201629075,1.0868427436410215,4,7,3,185.00970656274333,134.3721739243522,1280.0,358.1155351608222
frame_0008,3.459673645969056,-0.07287937367498792,1.5612189381968093,6,8,2,60.29306665750833,145.69153853908287,1117.9300750892494,351.3818205752387
frame_0009,3.244106996379492,0.07111185141854764,10.851207009323318,8,8,0,178.95087067059475,121.05441353866176,1280.0,350.23352319841877
frame_0010,2.866028217885143,0.12274310172895408,-13.625268490330134,7,8,1,54.46853563993611,82.63319865940136,1280.0,352.0216915896925
frame_0011,2.3418474134773204,-0.1263672218387357,-12.606240692291175,5,6,1,0.0,11.537552166746066,1224.4591261698592,358.8299818164306
frame_0012,2.9720530778698904,0.0654786034001929,-9.86584055405709,6,8,2,35.06487608548567,105.51117085232158,1275.2765632982278,359.2338222016124
frame_0013,3.0936901969255235,-0.20195850374284297,-3.616336747270566,4,6,2,0.0,127.22713873286932,1041.9658697918242,363.1292598626179
frame_0014,3.4842850259548928,0.08399985591245573,1.708492313239386,6,8,2,187.4984384619856,162.76393612421475,1233.9254850105638,366.66941214097545
frame_0015,3.026921376484812,0.20571115211388574,8.279997346387344,5,6,1,256.8857748325923,133.54601716524948,1280.0,379.8019852637744
frame_0016,3.3145514397090032,-0.11119327152091324,4.6631599588464,4,8,4,15.01515107777061,166.9602179749788,1121.9866307107723,385.01946746836035
frame_0017,2.394112412784403,0.050751594134124334,11.93468650807431,4,6,2,0.0,63.96543225820525,1280.0,398.85940675179233
frame_0018,2.7642894405146965,-0.24545435269572366,-13.586508737257963,5,6,1,0.0,111.62221365690365,1055.2739461924853,392.4594981747464
frame_0019,2.633239950199526,-0.2618833763088257,-3.5514214048038966,4,5,1,0.0,107.6250818680777,1061.981538787402,393.0226719312206
