distance_error_m,distance_est_m,distance_gt_m,frame,inliers,lateral_error_m,lateral_est_m,lateral_gt_m,pnp_ok,used_keypoints,yaw_error_flipped_deg,yaw_error_normal_deg,yaw_est_deg,yaw_gt_deg
0.001897097016761773,3.2955733200519366,3.293676223035175,val_00000,6,0.04377139734924856,-0.006812368462563061,-0.05058376581181162,1,8,5.260208606270936,23.032710366436277,8.886250880082658,-14.146459486353603
0.102994567355299,2.7639703970022067,2.6609758296469077,val_00005,6,0.0026182409002496465,0.1883255278539771,0.18570728695372746,1,6,3.057259317257774,-16.471227930208585,-9.764243623733188,6.706984306475405
-0.14117974484428464,3.048701717188686,3.1898814620329707,val_00010,6,0.005111972436055823,-0.14339355567385517,-0.148505528109911,1,7,-0.8848347098746956,-18.1094592903994,-8.612312290262357,9.497147000137048
-0.04148987913811242,3.171536992487899,3.2130268716260115,val_00015,6,-0.0067093615669363005,-0.11797490570520705,-0.11126554413827075,1,8,1.9922090327257251,15.775852816627008,6.891821891950634,-8.884030924676367
-0.23572560624697125,3.2479875526456454,3.4837131588926167,val_00020,6,0.05267964012009038,0.1446029579152038,0.09192331779511342,1,8,7.231061023086681,8.065835720874105,0.41738734889370904,-7.648448371980384
-0.12543303354968405,2.8936300417487044,3.0190630752983885,val_00025,6,0.03164612057031187,-0.007851775070761055,-0.03949789564107292,1,8,-0.362082863023943,0.21223409978478003,0.28715848140436334,0.07492438161958859
-0.21457815144359893,3.12545058433531,3.340028735778909,val_00030,6,0.009757376829066772,0.22136006606894373,0.21160268923987696,1,8,3.8470949589527095,20.3835182138356,8.268211627441449,-12.115306586394166
-0.14723007958852952,3.3451205915959723,3.492350671184502,val_00035,6,0.04162254697559742,0.24963816545069423,0.2080156184750968,1,7,-6.630361602081479,-18.851089370220762,-6.110363884069641,12.740725486151124
0.05815609492265583,2.2343621129300386,2.176206018007383,val_00040,4,0.11100289738615687,0.24807874521433937,0.1370758478281825,1,4,-6.009047397271701,-3.6411238657140927,1.1839617657788108,4.825085631492893
-0.1960059421792577,2.3249410903622385,2.520947032541496,val_00045,4,0.18748836221018622,0.044427638778134146,-0.1430607234320521,1,4,-1.587254384862888,-0.031136137790980456,0.7780591235359476,0.8091952613269413
0.005325723837061869,2.6234283419908744,2.6181026181538125,val_00051,6,0.11611460593171605,0.14858124326469288,0.03246663733297683,1,6,-7.960298536474113,2.3990524612037802,5.17967549883894,2.7806230376351664
-0.207059497325508,3.1785790115547106,3.3856385088802186,val_00056,6,0.10913100044859328,0.2227509023653256,0.11361990191673232,1,8,-12.025371288297976,-9.864171523805709,1.0805998822461411,10.944771406051846
-0.06944365818107556,3.0834711132936716,3.152914771474747,val_00061,7,0.004646615809378529,0.20205287447461862,0.1974062586652401,1,7,-2.830000048441036,29.488018975096452,16.159009511768748,-13.329009463327699
0.025042664422612937,2.434846300384519,2.409803635961906,val_00066,4,0.047125086682835604,0.2507014699702421,0.20357638328740651,1,4,-4.824317546753576,-14.80904565048911,-4.992364051867777,9.816681598621347
-0.044724847258299505,2.635970070793263,2.6806949180515627,val_00071,6,0.03921038032084345,0.11358078156905377,0.07437040124821032,1,7,3.114471074317123,-1.5992228228723206,-2.3568469485947094,-0.757624125722403
0.4422076394453489,2.5572218893843637,2.1150142499390148,val_00076,6,-0.08100481342809679,0.18827159705606666,0.26927641048416345,1,6,-3.8526169850514975,-17.40127023562738,-6.774326625287943,10.626943610339435
0.05139659561551424,3.4628344664477004,3.411437870832186,val_00081,7,0.04867571519284217,-0.08130781208285315,-0.12998352727569532,1,8,4.330854026409327,-0.6517972126080736,-2.4913256195086984,-1.8395284069006284
0.029264076599623046,2.876653091096612,2.847389014496989,val_00086,6,0.054726297696489845,-0.16255976357427104,-0.2172860612707609,1,7,5.2323994860475125,16.714041273685268,5.7408208938188725,-10.97322037986638
0.10171474343031273,2.4467079343571076,2.344993190926795,val_00091,5,0.01780228253894664,0.1568645488614668,0.13906226632252017,1,5,3.705851805271294,-9.248065890428506,-6.476958847849902,2.7711070425786097
-0.0016867414542449666,3.1726450742848193,3.1743318157390643,val_00096,6,0.004542679539208061,0.11783195484876519,0.11328927530955712,1,7,0.9784693412620982,-20.930451803470305,-10.954460572366209,9.975991231104107
