frame,distance_m,lateral_m,yaw_deg,background_index,visible_keypoints,occluded_keypoints,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax
train_00000,2.9591401976868257,-0.2849935468663998,-6.749120448926423,1,5,1,0.0,146.4421767392048,911.7207208523649,618.3126691203328
train_00001,3.138211050694651,-0.20420441017386592,-2.3215680553949234,2,4,2,0.0,177.07898379916182,988.8757358850448,609.2356285341734
train_00002,3.2106924099115703,0.13783907201629075,1.0868427436410215,3,5,2,237.01232152644087,147.67070546966892,1280.0,566.8855048246231
train_00003,2.866028217885143,0.12274310172895408,-13.625268490330134,1,7,1,111.82851059749034,96.95108896470386,1278.58026778652,601.6060294811399
train_00004,3.1596025111830377,0.2911329123964546,10.659531630454406,0,6,0,369.5797725301039,121.89418284359058,1280.0,564.8410840228321
train_00005,2.570189337558749,-0.027953818578938694,10.02331279922251,1,5,0,0.0,60.59512792483533,1280.0,630.6941649733026
train_00006,2.555271450675324,-0.17429578153710737,-6.990665338526599,0,6,0,0.0,61.484394645126535,1087.3304923629184,627.6627655736097
train_00007,2.9136965085004825,-0.1973168110811418,6.873803938510477,1,6,0,0.0,101.17119078139277,1072.872768517714,582.8003990592879
train_00008,2.6933903177766734,-0.13803130392943322,12.76173538863653,4,4,0,0.0,74.07659890724328,1189.7070616148685,617.8932486912879
train_00009,2.3435721079461564,-0.2807398536575773,-5.536408558227542,2,4,0,0.0,43.792803235692,1015.7027116272852,669.9912615105715
train_00010,2.099282907817321,0.24788167451132698,2.0154015443550684,2,4,0,129.59337313042482,13.539877375472361,1280.0,718.7634948733476
train_00011,2.318939816081211,-0.0004612443046336234,11.540494616601073,3,4,0,0.0,44.33375618681883,1280.0,699.1903130355686
train_00012,2.214307385663094,-0.21622180828469623,7.349669462748196,4,4,0,0.0,42.11407394731043,1212.816147910505,720.0
train_00013,2.394112412784403,0.050751594134124334,11.93468650807431,3,6,0,45.57171260414741,74.24248735991199,1280.0,703.1542582239579
train_00014,2.5429946655704163,0.29839546679349654,-10.850047653274324,3,4,0,228.04218993030025,96.85488825799585,1280.0,675.8793800560085
train_00015,2.136364118260691,-0.27173017474515926,-11.710526089480226,1,4,0,0.0,28.39654140206352,1048.850223604304,720.0
train_00016,3.188119046544446,-0.04670401992018958,-13.094168815441286,3,8,0,35.62671745491038,159.17435084264488,1083.467361174938,600.4977159483786
train_00017,2.893832642541692,-0.01917006732919363,-7.457576400545605,4,8,0,3.6512975642994405,138.93840070451552,1171.645176210971,624.9723031492852
train_00018,3.291169553351747,-0.2931113868343082,6.6216545808058385,4,6,0,0.0,170.89410326984537,938.6731352299761,586.3181439498712
train_00019,3.1263166993874147,0.16115923959446754,-4.7947358090686425,2,7,0,218.59059245874008,160.49311661200085,1280.0,598.8949778548962
train_00020,2.6521478760036574,-0.02776577620247611,13.614477825632402,2,6,1,45.398684614510074,71.18757703025862,1280.0,626.9574941136366
train_00021,3.4578321483051715,0.15717731943123875,0.23045023812975707,0,4,4,282.6235700407219,186.00109509879627,1245.1681987349327,569.46125990862
